[16:29:13.657] Namespace(data='colon', save_dir='./implementation/colon/small', data_dir='', num_workers=2, split='train', split_path='/home/hao/Hao/CVPR2025_interactive_challenge/src/useful_scripts/split_small.json', model_type='vit_b_ori', lr=4e-05, lr_scheduler='linear', warm_up=False, device='cuda:0', max_epoch=200, image_size=128, batch_size=1, checkpoint='best', checkpoint_sam='./checkpoint_sam/sam_vit_b_01ec64.pth', num_classes=2, tolerance=5, boundary_kernel_size=5, use_pretrain=False, pretrain_path='', resume=False, resume_best=False, ddp=False, gpu_ids=[0, 1], accumulation_steps=20, iter_weight=False, iter_nums=6, num_clicks=5, num_clicks_validation=10, use_box=False, dynamic_box=False, use_scribble=False, num_multiple_outputs=3, multiple_outputs=False, refine=False, no_detach=False, refine_test=False, dynamic=False, efficient_scribble=False, use_sam3d_turbo=False, save_predictions=False, save_csv=False, save_test_dir='./', save_name='small')
[18:27:18.313] epoch: 0/200, iter: 272/479: loss:0.4185: rank:-1
[18:27:45.443] epoch: 0/200, iter: 273/479: loss:0.4313: rank:-1
[18:28:12.732] epoch: 0/200, iter: 274/479: loss:0.6727: rank:-1
[18:28:39.980] epoch: 0/200, iter: 275/479: loss:0.5295: rank:-1
[18:29:07.221] epoch: 0/200, iter: 276/479: loss:0.3731: rank:-1
[18:29:34.461] epoch: 0/200, iter: 277/479: loss:0.5709: rank:-1
[18:30:01.105] epoch: 0/200, iter: 278/479: loss:0.5427: rank:-1
[18:30:28.511] epoch: 0/200, iter: 279/479: loss:0.591: rank:-1
[18:30:55.911] epoch: 0/200, iter: 280/479: loss:0.4764: rank:-1
[18:31:23.183] epoch: 0/200, iter: 281/479: loss:0.9773: rank:-1
[18:31:50.474] epoch: 0/200, iter: 282/479: loss:0.6226: rank:-1
[18:32:17.734] epoch: 0/200, iter: 283/479: loss:0.4844: rank:-1
[18:32:45.116] epoch: 0/200, iter: 284/479: loss:0.6767: rank:-1
[18:33:11.957] epoch: 0/200, iter: 285/479: loss:0.801: rank:-1
[18:33:39.278] epoch: 0/200, iter: 286/479: loss:0.5606: rank:-1
[18:34:06.708] epoch: 0/200, iter: 287/479: loss:0.5358: rank:-1
[18:34:34.046] epoch: 0/200, iter: 288/479: loss:0.3764: rank:-1
[18:35:01.399] epoch: 0/200, iter: 289/479: loss:0.7575: rank:-1
[18:35:28.453] epoch: 0/200, iter: 290/479: loss:0.3322: rank:-1
[18:35:31.585] epoch: 0/200, iter: 291/479: loss:1.072: rank:-1
[18:35:58.927] epoch: 0/200, iter: 292/479: loss:0.4774: rank:-1
[18:36:26.342] epoch: 0/200, iter: 293/479: loss:0.8198: rank:-1
