[15:59:39.170] Namespace(data='colon', save_dir='./implementation/colon/full', data_dir='', num_workers=2, split='train', split_path='/home/hao/Hao/CVPR2025_interactive_challenge/src/useful_scripts/split_full.json', model_type='vit_b_ori', lr=4e-05, lr_scheduler='linear', warm_up=False, device='cuda:0', max_epoch=200, image_size=128, batch_size=1, checkpoint='best', checkpoint_sam='./checkpoint_sam/sam_vit_b_01ec64.pth', num_classes=2, tolerance=5, boundary_kernel_size=5, use_pretrain=False, pretrain_path='', resume=False, resume_best=False, ddp=False, gpu_ids=[0, 1], accumulation_steps=20, iter_weight=False, iter_nums=6, num_clicks=5, num_clicks_validation=10, use_box=False, dynamic_box=False, use_scribble=False, num_multiple_outputs=3, multiple_outputs=False, refine=False, no_detach=False, refine_test=False, dynamic=False, efficient_scribble=False, use_sam3d_turbo=False, save_predictions=False, save_csv=False, save_test_dir='./', save_name='full')
[16:40:20.669] epoch: 0/200, iter: 237/3469: loss:0.9347: rank:-1
[16:40:29.928] epoch: 0/200, iter: 238/3469: loss:1.2226: rank:-1
[16:40:32.979] epoch: 0/200, iter: 239/3469: loss:0.5543: rank:-1
[16:41:37.069] epoch: 0/200, iter: 240/3469: loss:0.8628: rank:-1
[16:41:43.191] epoch: 0/200, iter: 241/3469: loss:0.7937: rank:-1
[16:42:10.682] epoch: 0/200, iter: 242/3469: loss:0.9869: rank:-1
[16:42:13.730] epoch: 0/200, iter: 243/3469: loss:0.5324: rank:-1
[16:42:16.860] epoch: 0/200, iter: 244/3469: loss:1.8318: rank:-1
[16:42:59.327] epoch: 0/200, iter: 245/3469: loss:0.8215: rank:-1
[16:43:14.524] epoch: 0/200, iter: 246/3469: loss:0.8107: rank:-1
[16:43:17.542] epoch: 0/200, iter: 247/3469: loss:0.4272: rank:-1
[16:43:20.589] epoch: 0/200, iter: 248/3469: loss:0.9604: rank:-1
[16:43:23.554] epoch: 0/200, iter: 249/3469: loss:0.5405: rank:-1
[16:43:50.663] epoch: 0/200, iter: 250/3469: loss:0.7377: rank:-1
[16:43:53.744] epoch: 0/200, iter: 251/3469: loss:1.0945: rank:-1
[16:43:56.759] epoch: 0/200, iter: 252/3469: loss:0.5867: rank:-1
[16:44:24.201] epoch: 0/200, iter: 253/3469: loss:0.848: rank:-1
[16:44:27.247] epoch: 0/200, iter: 254/3469: loss:0.4954: rank:-1
[16:44:54.616] epoch: 0/200, iter: 255/3469: loss:0.8697: rank:-1
[16:44:57.666] epoch: 0/200, iter: 256/3469: loss:0.499: rank:-1
[16:45:00.721] epoch: 0/200, iter: 257/3469: loss:0.6763: rank:-1
[16:45:03.794] epoch: 0/200, iter: 258/3469: loss:1.8095: rank:-1
